id,英文术语,当前中文译名（游戏）,教材/旧词库原译,音标,词典说明/卡片释义,出现章节,教材频次,来源,审查类型,词典依据
562,incompatibility,性格不合,性格不合,ˌɪnˌkɑmpətɪˈbɪlɪti,,13,2,textbook,,
563,counseling,咨询,咨询,ˈkaʊnsəlɪŋ,,13,1,textbook,,
564,mediation,调解,调解,ˌmidiˈeɪʃən,,"2,4,13,14",9,textbook,,
565,status,身份,身份,ˈstætəs,,13,11,textbook,,
566,public policy,公共政策,公共政策,ˈpəblɪk ˈpɑləsi,,13,3,textbook,,
567,legal entity,法律实体,法律实体,ˈligəl ˈɛntɪti,,13,1,textbook,,
568,cohabitation,同居,同居,koʊˌhæbəˈteɪʃən,,13,3,textbook,,
569,family and medical leave act,家庭与医疗休假法,家庭与医疗休假法,ˈfæməli ənd ˈmɛdɪkəl liv ækt,,13,2,textbook,,
570,tax law,税法,税法,tæks lɔ,,"13,14",3,textbook,,
571,abortion,堕胎,堕胎,əˈbɔrʃən,,"13,14",2,textbook,,
572,informal,非正式,非正式,ˌɪnˈfɔrməl,,13,1,textbook,,
573,common law marriage,普通法婚姻,普通法婚姻,ˈkɑmən lɔ ˈmɛrɪʤ,,13,3,textbook,,
574,local law,地方性法律,地方性法律,ˈloʊkəl lɔ,,13,2,textbook,,
575,federal government,联邦政府,联邦政府,ˈfɛdərəl ˈgəvərnmənt,,13,2,textbook,,
576,legislature,立法机关,立法机关,ˈlɛʤəsˌleɪʧər,,13,5,textbook,,
577,unemancipated,未解除亲权,未解除亲权,,,13,2,textbook,,
578,monogamy,一夫一妻制,一夫一妻制,məˈnɑgəmi,,13,1,textbook,,
579,polygyny,一夫多妻,一夫多妻,pəˈlɪʤəni,,13,1,textbook,,
580,miscegenation statute,异族通婚法,异族通婚法,,,13,1,textbook,,
581,same-sex marriage,同性婚姻,同性婚姻,ˌseɪmˈsɛks ˈmɛrɪʤ,,"13,14",27,textbook,,
582,affinity,姻亲关系,姻亲关系,əˈfɪnɪti,,13,2,textbook,,
583,partner,伴侣,伴侣,ˈpɑrtnər,,13,49,textbook,,
584,marriage license,结婚许可证；结婚许可,结婚许可证；结婚许可,ˈmɛrɪʤ ˈlaɪsəns,,"3,13",13,textbook,,
585,state constitution,州宪法,州宪法,steɪt ˌkɑnstəˈtuʃən,,13,7,textbook,,
586,trial court,初审法院,初审法院,traɪəl kɔrt,,"3,5,13",7,textbook,,
587,defendant,被告,被告,dɪˈfɛndənt,,"2,4,13",102,textbook,,
588,fundamental right,基本权利,基本权利,ˌfəndəˈmɛnəl raɪt,,"6,13",12,textbook,,
589,constitutionality,合宪性,合宪性,ˌkɑnstɪˌtuʃəˈnælɪti,,"5,6,13",14,textbook,,
590,strict scrutiny,严格审查,严格审查,strɪkt ˈskrutəni,,"3,6,13",6,textbook,,
591,remand,发回,发回,rɪˈmænd,,"4,13",2,textbook,,
592,equal protection clause,平等保护条款,平等保护条款,ˈikwəl prəˈtɛkʃən klɔz,,"6,13",7,textbook,,
593,marital status,婚姻身份；婚姻状况,婚姻身份；婚姻状况,ˈmærətəl ˈstætəs,,13,3,textbook,,
594,standard of review,审查标准,审查标准,ˈstændərd əv ˌrivˈju,,13,1,textbook,,
595,appeal,上诉,上诉,əˈpil,,"3,4,7,13",25,textbook,,
596,constitutional amendment,宪法修正案,宪法修正案,ˌkɑnstəˈtuʃənəl əˈmɛndmənt,,13,2,textbook,,
597,welfare,福利,福利,ˈwɛlˌfɛr,,13,9,textbook,,
598,common benefits clause,共同福利条款,共同福利条款,ˈkɑmən ˈbɛnəfɪts klɔz,,13,1,textbook,,
599,plaintiff,原告,原告,ˈpleɪnəf,,"2,4,13,14",73,textbook,,
600,public health,公共卫生,公共卫生,ˈpəblɪk hɛlθ,,"13,14",3,textbook,,
601,state government,州政府,州政府,steɪt ˈgəvərnmənt,,"13,14",2,textbook,,
602,approval,批准,批准,əˈpruvəl,,13,8,textbook,,
603,defense of marriage act,婚姻保护法,婚姻保护法,dɪˈfɛns əv ˈmɛrɪʤ ækt,,13,4,textbook,,
604,federal law,联邦法,联邦法,ˈfɛdərəl lɔ,,13,2,textbook,,
605,possession,属地,属地,pəˈzɛʃən,,13,2,textbook,,
606,tribe,部落,部落,traɪb,,13,4,textbook,,
607,public act,公共行为；公共法律,公共行为；公共法律,ˈpəblɪk ækt,,"5,13",2,textbook,,
608,judicial action,司法程序,司法程序,ʤuˈdɪʃəl ˈækʃən,,13,2,textbook,,
609,state law,州法,州法,steɪt lɔ,,"13,14",6,textbook,,
610,civil union,民事结合,民事结合,ˈsɪvəl ˈjunjən,,13,1,textbook,,
611,capacity to contract,缔约能力,缔约能力,kəˈpæsɪti tɪ ˈkɑnˌtrækt,,13,1,textbook,,
612,incest statute,乱伦法,乱伦法,ˈɪnˌsɛst ˈstæʧut,,13,2,textbook,,
613,register,登记,登记,ˈrɛʤɪstər,,13,2,textbook,,
614,domestic partner,家庭伴侣,家庭伴侣,dəˈmɛstɪk ˈpɑrtnər,,13,2,textbook,,
615,notice,通知,通知,ˈnoʊtɪs,,13,5,textbook,,
616,federalism,联邦制,联邦制,ˈfɛdərəˌlɪzəm,,"3,6,13",15,textbook,,
617,comity,司法礼让；礼让,司法礼让；礼让,ˈkoʊmɪti,,"5,13",3,textbook,,
618,marriage validation statute,婚姻确认制定法,婚姻确认制定法,ˈmɛrɪʤ ˌvæləˈdeɪʃən ˈstæʧut,,13,1,textbook,,
619,validation provision,确认条款,确认条款,ˌvæləˈdeɪʃən prəˈvɪʒən,,13,1,textbook,,
620,uniform marriage and divorce act,统一婚姻与离婚法,统一婚姻与离婚法,ˈjunəˌfɔrm ˈmɛrɪʤ ənd dɪˈvɔrs ækt,,13,1,textbook,,
621,dissent,异议,异议,dɪˈsɛnt,,13,13,textbook,,
622,federal district court,联邦地区法院,联邦地区法院,ˈfɛdərəl ˈdɪstrɪkt kɔrt,,13,1,textbook,,
623,lead plaintiff,首席原告,首席原告,lɛd ˈpleɪnəf,,13,1,textbook,,
624,death certificate,死亡证明,死亡证明,dɛθ sərˈtɪfɪkət,,13,2,textbook,,
625,registrar,登记官,登记官,ˈrɛʤɪˌstrɑr,,13,1,textbook,,
626,state attorney general,州检察长,州检察长,steɪt əˈtərni ˈʤɛnərəl,,"13,14",2,textbook,,
627,birth certificate,出生证明,出生证明,bərθ sərˈtɪfɪkət,,13,6,textbook,,
628,clerk,书记官,书记官,klərk,,13,2,textbook,,
629,majority opinion,多数意见,多数意见,məˈʤɔrəti əˈpɪnjən,,13,3,textbook,,
630,due process clause,正当程序条款,正当程序条款,du ˈprɔˌsɛs klɔz,,"6,13",10,textbook,,
631,unconstitutional,违宪,违宪,ˌənˌkɑnstəˈtuʃənəl,,"5,6,13,14",13,textbook,,
632,religious liberty,宗教自由,宗教自由,rɪˈlɪʤəs ˈlɪbərˌti,,13,1,textbook,,
633,originalism,原旨主义,原旨主义,,,13,1,textbook,,
634,pension,养老金,养老金,ˈpɛnʃən,,13,2,textbook,,
635,social security,社会保障,社会保障,ˈsoʊʃəl sɪˈkjʊrəti,,13,2,textbook,,
636,community property,夫妻共同财产,夫妻共同财产,kəmˈjunɪti ˈprɑpərti,,13,7,textbook,,
637,rules of evidence,证据规则,证据规则,rulz əv ˈɛvədəns,,"2,3,4,13",6,textbook,,
638,marital privilege,配偶特权；配偶特免权,配偶特权；配偶特免权,ˈmærətəl ˈprɪvɪlɪʤ,,"4,13",2,textbook,,
639,employment retirement income security act,雇员退休收入保障法,雇员退休收入保障法,ɪmˈplɔɪmənt rɪˈtaɪərmənt ˈɪnˌkəm sɪˈkjʊrəti ækt,,13,1,textbook,,
640,domicile,住所,住所,,,"5,13",12,textbook,,
641,civil rights act,民权法,民权法,ˈsɪvəl raɪts ækt,,13,1,textbook,,
642,employer,雇主,雇主,ɪmˈplɔɪər,,"13,14",4,textbook,,
643,religious belief,宗教信仰,宗教信仰,rɪˈlɪʤəs bɪˈlif,,13,1,textbook,,
644,county clerk,县书记官,县书记官,ˈkaʊnti klərk,,13,2,textbook,,
645,capacity to marry,结婚能力,结婚能力,kəˈpæsɪti tɪ ˈmɛri,,13,2,textbook,,
646,formal marriage,正式婚姻,正式婚姻,ˈfɔrməl ˈmɛrɪʤ,,13,2,textbook,,
647,bigamy,重婚,重婚,,,13,2,textbook,,
648,ceremonial marriage,仪式婚姻,仪式婚姻,ˌsɛrəˈmoʊniəl ˈmɛrɪʤ,,13,1,textbook,,
649,public record,公共记录,公共记录,ˈpəblɪk ˈrɛkərd,,13,1,textbook,,
650,judicial system,司法系统,司法系统,ʤuˈdɪʃəl ˈsɪstəm,,13,1,textbook,,
651,spousal support,配偶扶养费,配偶扶养费,ˈspaʊzəl səˈpɔrt,,13,17,textbook,,
652,summary dissolution,简易解除,简易解除,ˈsəməri ˌdɪsəˈluʃən,,13,1,textbook,,
653,judicial approval,司法批准,司法批准,ʤuˈdɪʃəl əˈpruvəl,,13,1,textbook,,
654,plea bargain,答辩交易；控辩交易,答辩交易；控辩交易,pli ˈbɑrgɪn,,"4,13",3,textbook,,
655,annulment,无效宣告,无效宣告,ˈænəlmənt,,13,15,textbook,,
656,trier of fact,事实裁判者,事实裁判者,traɪər əv fækt,,13,3,textbook,,
657,illegitimate,非婚生,非婚生,ˌɪlɪˈʤɪtəmɪt,,13,3,textbook,,
658,residency,居住,居住,ˈrɛzɪdənsi,,13,4,textbook,,
659,support,扶养；扶养费,扶养；扶养费,səˈpɔrt,,13,17,textbook,,
660,child support,子女扶养费,子女扶养费,ʧaɪld səˈpɔrt,,"13,14",18,textbook,,
661,residency period,居住期,居住期,ˈrɛzɪdənsi ˈpɪriəd,,13,1,textbook,,
662,venue,审判地,审判地,ˈvɛnju,,"4,5,13",14,textbook,,
663,service of process,送达,送达,ˈsərvɪs əv ˈprɔˌsɛs,,13,1,textbook,,
664,divorce petition,离婚诉状,离婚诉状,dɪˈvɔrs pəˈtɪʃən,,13,2,textbook,,
665,separation,分居,分居,ˌsɛpərˈeɪʃən,,13,2,textbook,,
666,witness stand,证人席,证人席,ˈwɪtnəs stænd,,13,1,textbook,,
667,burden of proof,举证；证明责任,举证；证明责任,ˈbərdən əv pruf,,"4,7,13",7,textbook,,
668,desertion,遗弃,遗弃,dɪˈzərʃən,,13,1,textbook,,
669,cruelty,虐待,虐待,ˈkruəlti,,13,9,textbook,,
670,trial,审判,审判,traɪəl,,"13,14",3,textbook,,
671,at-fault party,过错方,过错方,,,13,1,textbook,,
672,contested case,有争议案件,有争议案件,kənˈtɛstəd keɪs,,13,3,textbook,,
673,testimony,证人证言,作证；证明,ˈtɛstɪˌmoʊni,《元照》：证人证言。指具备作证资格的证人在庭审、宣誓书或书面证词中提供的证据。,"13,14",4,textbook,translation_correction,testimony n. 证人证言。
674,marital property,婚姻财产,婚姻财产,ˈmærətəl ˈprɑpərti,,13,7,textbook,,
675,uncontested case,无争议案件,无争议案件,ˌənkənˈtɛstɪd keɪs,,13,1,textbook,,
676,negotiation,谈判；（票据）转让,谈判,nɪˌgoʊʃiˈeɪʃən,《元照》：①谈判；②转让（由一人向另一人转移汇票或其他流通证券）。教材合同语境的“谈判”保留。,13,2,textbook,contextual_supplement,negotiation n. ①谈判……②转让。
677,bargaining chip,筹码,筹码,ˈbɑrgɪnɪŋ ʧɪp,,13,1,textbook,,
678,collaborative divorce,合作式离婚,合作式离婚,kəˈlæbərˌeɪtɪv dɪˈvɔrs,,13,3,textbook,,
679,collaborative law,合作式法律,合作式法律,kəˈlæbərˌeɪtɪv lɔ,,13,2,textbook,,
680,adr,替代性纠纷解决,替代性纠纷解决,,,13,1,textbook,,
681,settlement,和解,和解,ˈsɛtəlmənt,,"4,13",6,textbook,,
682,financial planner,财务规划师,财务规划师,ˌfaɪˈnænʃəl ˈplænər,,13,1,textbook,,
683,child specialist,儿童专家,儿童专家,ʧaɪld ˈspɛʃəlɪst,,13,1,textbook,,
684,neutral professional,中立专业人士,中立专业人士,ˈnutrəl prəˈfɛʃənəl,,13,1,textbook,,
685,support order,扶养命令,扶养命令,səˈpɔrt ˈɔrdər,,13,1,textbook,,
686,hearing,听证,听证,ˈhirɪŋ,,13,2,textbook,,
687,property settlement agreement,财产和解协议,财产和解协议,ˈprɑpərti ˈsɛtəlmənt əˈgrimənt,,13,1,textbook,,
688,asset,资产,资产,ˈæˌsɛt,,13,11,textbook,,
689,cohabitation agreement,同居协议,同居协议,koʊˌhæbəˈteɪʃən əˈgrimənt,,13,1,textbook,,
690,equitable remedy,衡平救济,衡平救济,ˈɛkwɪtəbəl ˈrɛmədi,,13,1,textbook,,
691,uniform marital property act,统一婚姻财产法,统一婚姻财产法,ˈjunəˌfɔrm ˈmærətəl ˈprɑpərti ækt,,13,1,textbook,,
692,wages,工资,工资,ˈweɪʤɪz,,"13,14",3,textbook,,
693,married women's act,已婚妇女法,已婚妇女法,ˈmɛrid ˈwɪmənz ækt,,13,1,textbook,,
694,tenant in common,按份共有人,按份共有人,ˈtɛnənt ɪn ˈkɑmən,,13,1,textbook,,
695,joint tenant,共同共有人,共同共有人,ʤɔɪnt ˈtɛnənt,,13,1,textbook,,
696,property settlement,财产分割,财产和解,ˈprɑpərti ˈsɛtəlmənt,《元照》：财产分割，适用于离婚案件。包括双方协议并经法院批准，或依据法院判决进行的分割。,13,3,textbook,translation_correction,property settlement 财产分割。
697,no-fault divorce,无过错离婚,无过错离婚,,,13,1,textbook,,
698,legal landscape,法律图景,法律图景,ˈligəl ˈlænˌskeɪp,,13,1,textbook,,
699,property division order,财产分割命令,财产分割命令,ˈprɑpərti dɪˈvɪʒən ˈɔrdər,,13,3,textbook,,
700,future income,未来收入,未来收入,fˈjuʧər ˈɪnˌkəm,,13,1,textbook,,
701,lump-sum payment,一次性支付,一次性支付,,,13,1,textbook,,
702,standard of living,生活水准,生活水准,ˈstændərd əv ˈlɪvɪŋ,,13,2,textbook,,
703,installment payment,分期付款,分期付款,ˌɪnˈstɔlmənt ˈpeɪmənt,,13,2,textbook,,
704,property settlement payment,财产和解款,财产和解款,ˈprɑpərti ˈsɛtəlmənt ˈpeɪmənt,,13,1,textbook,,
705,taxation,税收；征税,税收；征税,tækˈseɪʃən,,"13,14",2,textbook,,
706,court decree,法院判决,法院判决,kɔrt dɪˈkri,,13,1,textbook,,
707,federal tax law,联邦税法,联邦税法,ˈfɛdərəl tæks lɔ,,13,1,textbook,,
708,bankruptcy law,破产法,破产法,ˈbæŋkrəptsi lɔ,,13,1,textbook,,
709,civil contempt,民事藐视法庭,民事藐视法庭,ˈsɪvəl kənˈtɛmpt,,13,1,textbook,,
710,tax liability,纳税义务,纳税义务,tæks ˌlaɪəˈbɪlɪti,,13,1,textbook,,
711,stock option,股票期权,股票期权,stɑk ˈɔpʃən,,13,1,textbook,,
712,deferred compensation,递延报酬,递延报酬,dɪˈfərd ˌkɑmpənˈseɪʃən,,13,1,textbook,,
713,valuation,估值,估值,væljuˈeɪʃən,,13,1,textbook,,
714,best interest of the child,子女最佳利益,子女最佳利益,bɛst ˈɪntəˌrɛst əv ðə ʧaɪld,,13,6,textbook,,
715,best interest,最佳利益,最佳利益,bɛst ˈɪntəˌrɛst,,13,1,textbook,,
716,guardianship,监护,监护,ˈgɑrdiənʃɪp,,13,2,textbook,,
717,uniform child custody and enforcement act,统一子女监护与执行法,统一子女监护与执行法,ˈjunəˌfɔrm ʧaɪld ˈkəstədi ənd ɛnˈfɔrsmənt ækt,,13,2,textbook,,
718,parental kidnapping prevention act,防止父母拐带子女法,防止父母拐带子女法,pərˈɛntəl ˈkɪdˌnæpɪŋ priˈvɛnʃən ækt,,13,2,textbook,,
719,physical possession,实际占有,实际占有,ˈfɪzɪkəl pəˈzɛʃən,,13,3,textbook,,
720,visitation rights,探视权,探视权,ˌvɪzɪˈteɪʃən raɪts,,13,4,textbook,,
721,visitation,探视,探视,ˌvɪzɪˈteɪʃən,,13,6,textbook,,
722,joint custody,共同监护,共同监护,ʤɔɪnt ˈkəstədi,,13,1,textbook,,
723,joint legal custody,共同法定监护,共同法定监护,ʤɔɪnt ˈligəl ˈkəstədi,,13,1,textbook,,
724,joint physical custody,共同实际监护,共同实际监护,ʤɔɪnt ˈfɪzɪkəl ˈkəstədi,,13,1,textbook,,
725,parenting plan,育儿计划,育儿计划,ˈpɛrəntɪŋ plæn,,13,1,textbook,,
726,custodial responsibilities,监护职责,监护职责,kəˈstoʊdiəl riˌspɑnsəˈbɪlətiz,,13,1,textbook,,
727,parentage suit,亲子诉讼,亲子诉讼,ˈpɛrəntəʤ sut,,13,2,textbook,,
728,custodial parent,享有监护权的一方,享有监护权的一方,kəˈstoʊdiəl ˈpɛrənt,,"13,14",6,textbook,,
729,contempt of court,藐视法庭,藐视法庭,kənˈtɛmpt əv kɔrt,,"2,4,13",4,textbook,,
730,delinquency,拖欠,拖欠,dɪˈlɪŋkwənsi,,13,3,textbook,,
731,self-help,自力救济,自力救济,ˈsɛlfˈhɛlp,,13,1,textbook,,
732,fine,罚金,罚金,faɪn,,"2,13,14",8,textbook,,
733,imprisonment,监禁,监禁,ˌɪmˈprɪzənmənt,,13,2,textbook,,
734,garnishment of wages,扣押工资,扣押工资,ˈgɑrnɪʃmənt əv ˈweɪʤɪz,,13,1,textbook,,
735,criminal nonsupport,刑事不扶养,刑事不扶养,,,13,1,textbook,,
736,uniform interstate family support act,统一州际家庭扶养法,统一州际家庭扶养法,ˈjunəˌfɔrm ˌɪntərˈsteɪt ˈfæməli səˈpɔrt ækt,,13,1,textbook,,
737,filing,提交（文件）；登记；归档,立案,ˈfaɪlɪŋ,《元照》：文件归档。教材“Authorities there file the papers”语境中，指当地机关提交、登记文件，而非“立案”这一程序结果。,13,1,textbook,translation_correction,filing n. 文件归档。
738,opportunity to be heard,陈述机会,陈述机会,ˌɑpərˈtunəti tɪ bi hərd,,13,1,textbook,,
739,travel expenses,差旅,差旅,ˈtrævəl ɪkˈspɛnsɪz,,13,1,textbook,,
740,social security amendments,社会保障修正案,社会保障修正案,ˈsoʊʃəl sɪˈkjʊrəti əˈmɛndmənts,,13,1,textbook,,
741,federal funds,联邦资金,联邦资金,ˈfɛdərəl fəndz,,13,1,textbook,,
742,government assistance,政府救济,政府救济,ˈgəvərnmənt əˈsɪstəns,,13,1,textbook,,
743,absent parent,缺席父母,缺席父母,ˈæbsənt ˈpɛrənt,,13,2,textbook,,
744,support obligation,扶养义务,扶养义务,səˈpɔrt ˌɑbləˈgeɪʃən,,13,1,textbook,,
745,parent-locator service,父母查找服务,父母查找服务,,,13,1,textbook,,
746,national new hire registry,全国新雇员登记,全国新雇员登记,ˈnæʃənəl nu haɪər ˈrɛʤɪstri,,13,1,textbook,,
747,tax refund,退税,退税,tæks ˈriˌfənd,,13,1,textbook,,
748,driver's license,驾照,驾照,ˈdraɪvərz ˈlaɪsəns,,13,1,textbook,,
749,professional license,职业执照,职业执照,prəˈfɛʃənəl ˈlaɪsəns,,13,1,textbook,,
750,passport,护照,护照,ˈpæˌspɔrt,,13,1,textbook,,
751,federal crime,联邦犯罪,联邦犯罪,ˈfɛdərəl kraɪm,,13,1,textbook,,
752,probation order,缓刑令,缓刑令,proʊˈbeɪʃən ˈɔrdər,,13,1,textbook,,
753,probation,缓刑,缓刑,proʊˈbeɪʃən,,"7,13",8,textbook,,
754,legal precept,法律准则,法律准则,ˈligəl ˈpriˌsɛpt,,13,1,textbook,,
755,family code,家庭法典,家庭法典,ˈfæməli koʊd,,13,4,textbook,,
756,uniform collaborative law act,统一合作式法律法,统一合作式法律法,ˈjunəˌfɔrm kəˈlæbərˌeɪtɪv lɔ ækt,,13,1,textbook,,
757,legitimate,婚生,婚生,ləˈʤɪtəmət,,13,3,textbook,,
758,surrogacy,代孕,代孕,ˈsərəgəsi,,13,3,textbook,,
759,guardian,监护人,监护人,ˈgɑrdiən,,13,2,textbook,,
760,natural father,生父,生父,ˈnæʧərəl ˈfɑðər,,13,4,textbook,,
761,artificial insemination,人工授精,人工授精,ˌɑrtəˈfɪʃəl ˌɪnˌsɛməˈneɪʃən,,13,4,textbook,,
762,legitimate child,婚生子女,婚生子女,ləˈʤɪtəmət ʧaɪld,,13,3,textbook,,
763,uniform parentage act,统一亲子关系法,统一亲子关系法,ˈjunəˌfɔrm ˈpɛrəntəʤ ækt,,13,2,textbook,,
764,paternity,父亲身份,父亲身份,pəˈtərnɪti,,13,4,textbook,,
765,parental rights,亲权,亲权,pərˈɛntəl raɪts,,13,3,textbook,,
766,illegitimate child,非婚生子女,非婚生子女,ˌɪlɪˈʤɪtəmɪt ʧaɪld,,13,1,textbook,,
767,indian child welfare act,印第安儿童福利法,印第安儿童福利法,ˈɪndiən ʧaɪld ˈwɛlˌfɛr ækt,,13,2,textbook,,
768,termination of parental rights,亲权终止,亲权终止,tərməˈneɪʃən əv pərˈɛntəl raɪts,,13,2,textbook,,
769,intercountry adoption act,跨国收养法,跨国收养法,,,13,2,textbook,,
770,surrogate mother,代孕母亲,代孕母亲,ˈsərəˌgeɪt ˈməðər,,13,1,textbook,,
771,noncustodial parent,不享有监护权的一方,不享有监护权的一方,,,13,1,textbook,,
772,family law judge,家事法官,家事法官,ˈfæməli lɔ ʤəʤ,,13,1,textbook,,
773,perception,认知,认知,pərˈsɛpʃən,,14,4,textbook,,
774,protector,保护者,保护者,prəˈtɛktər,,14,6,textbook,,
775,oppressor,压迫者,压迫者,əˈprɛsər,,14,4,textbook,,
776,pursuit of happiness,对幸福的追求,对幸福的追求,pərˈsut əv ˈhæpinəs,,14,1,textbook,,
777,confirm,证实,证实,kənˈfərm,,14,1,textbook,,
778,noncustodial spouse,不享有监护权的一方,不享有监护权的一方,,,14,1,textbook,,
779,legal obligation,法律义务,法律义务,ˈligəl ˌɑbləˈgeɪʃən,,14,1,textbook,,
780,moral obligation,道德义务,道德义务,ˈmɔrəl ˌɑbləˈgeɪʃən,,14,1,textbook,,
781,rental agreement,租赁协议,租赁协议,ˈrɛntəl əˈgrimənt,,14,1,textbook,,
782,property owner,财产所有人,财产所有人,ˈprɑpərti ˈoʊnər,,14,1,textbook,,
783,rental contract,租赁合同,租赁合同,ˈrɛntəl ˈkɑnˌtrækt,,14,1,textbook,,
784,free will,自由意志,自由意志,fri wɪl,,14,1,textbook,,
785,legal profession,法律职业,法律职业,ˈligəl prəˈfɛʃən,,"2,14",6,textbook,,
786,member of congress,国会议员,国会议员,ˈmɛmbər əv ˈkɑŋgrəs,,14,1,textbook,,
787,national law,国家法律,国家法律,ˈnæʃənəl lɔ,,14,1,textbook,,
788,judicial branch,司法部门；司法分支,司法部门；司法分支,ʤuˈdɪʃəl brænʧ,,"5,14",2,textbook,,
789,senate judiciary committee,参议院司法委员会；司法委员会,参议院司法委员会；司法委员会,ˈsɛnɪt ʤuˈdɪʃiˌɛri kəˈmɪti,,"3,14",2,textbook,,
790,approve,批准,批准,əˈpruv,,14,1,textbook,,
791,law license,律师执照,律师执照,lɔ ˈlaɪsəns,,14,1,textbook,,
792,judicial office,法官职位,法官职位,ʤuˈdɪʃəl ˈɔfəs,,14,1,textbook,,
793,politicized,政治化,政治化,pəˈlɪtɪˌsaɪzd,,14,1,textbook,,
794,political science,政治学,政治学,pəˈlɪtɪkəl saɪəns,,14,1,textbook,,
795,law school admission test,法学院入学考试,法学院入学考试,lɔ skul ədˈmɪʃən tɛst,,14,1,textbook,,
796,courtroom,法庭,法庭,ˈkɔrˌtrum,,14,1,textbook,,
797,gun control,枪支管制,枪支管制,gən kənˈtroʊl,,14,1,textbook,,
798,capital punishment,死刑,死刑,ˈkæpɪtəl ˈpənɪʃmənt,,"7,14",5,textbook,,
799,special interest group,特殊利益团体,特殊利益团体,ˈspɛʃəl ˈɪntəˌrɛst grup,,14,1,textbook,,
800,political arena,政治场域,政治场域,pəˈlɪtɪkəl ərˈinə,,14,1,textbook,,
801,status quo,现状,现状,ˈstætəs kwoʊ,,14,1,textbook,,
802,forces of change,变革力量,变革力量,ˈfɔrsɪz əv ʧeɪnʤ,,14,1,textbook,,
803,offense,违法行为,违法行为,əˈfɛns,,14,2,textbook,,
804,tobacco industry,烟草业,烟草业,təˈbæˌkoʊ ˈɪndəstri,,14,3,textbook,,
805,legal process,法律程序（教材语境）；法律传票；法律令状（术语义）,法律程序,ˈligəl ˈprɔˌsɛs,教材第 4 章“正式法律程序”译为法律程序正确；《元照》收录的专门术语义为经合法程序签发的法律传票、法律令状。,14,1,textbook,contextual_supplement,legal process 法律传票；法律令状。
806,government regulation,政府管制,政府管制,ˈgəvərnmənt ˌrɛgjəˈleɪʃən,,14,1,textbook,,
807,smoker,吸烟者,吸烟者,sˈmoʊkər,,14,2,textbook,,
808,indigent,贫困,贫困,ˈɪndɪʤənt,,14,2,textbook,,
809,victim,受害者,受害者,ˈvɪktɪm,,14,4,textbook,,
810,dignity in death,尊严死,尊严死,ˈdɪgnəti ɪn dɛθ,,14,1,textbook,,
811,sexual harassment,性骚扰,性骚扰,ˈsɛkʃuəl hərˈæsmənt,,14,1,textbook,,
812,elder abuse,虐待老人,虐待老人,ˈɛldər əˈbjuz,,14,1,textbook,,
813,law-breaker,违法者,违法者,,,14,1,textbook,,
814,criminal justice,刑事司法,刑事司法,ˈkrɪmənəl ˈʤəstɪs,,14,1,textbook,,
815,crime,犯罪,犯罪,kraɪm,,14,5,textbook,,
816,founding father,开国先贤,开国先贤,ˈfaʊndɪŋ ˈfɑðər,,14,1,textbook,,
817,outlaw,不法之徒,不法之徒,ˈaʊˌtlɔ,,14,1,textbook,,
818,coercive power,强制力,强制力,koʊəˈrsɪv paʊər,,14,1,textbook,,
819,safeguard,保障,保障,ˈseɪfˌgɑrd,,14,2,textbook,,
820,rights of the accused,被控者权利,被控者权利,raɪts əv ðə əˈkjuzd,,14,1,textbook,,
821,rights of society,社会权利,社会权利,raɪts əv soʊˈsaɪɪti,,14,1,textbook,,
822,law enforcer,执法者,执法者,lɔ ɛnˈfɔrsər,,14,1,textbook,,
823,civil libertarian,公民自由论者,公民自由论者,ˈsɪvəl ˌlɪˌbərˈtɛˌriən,,14,1,textbook,,
824,public,公众,公众,ˈpəblɪk,,14,1,textbook,,
825,consensus,共识,共识,kənˈsɛnsəs,,14,3,textbook,,
826,decency,体面,体面,ˈdisənsi,,14,1,textbook,,
827,justice,正义,正义,ˈʤəstɪs,,14,4,textbook,,
828,penalty,刑罚,刑罚,ˈpɛnəlti,,"7,14",17,textbook,,
829,ultimate punishment,极刑,极刑,ˈəltəmət ˈpənɪʃmənt,,14,1,textbook,,
830,decriminalization,非刑事化,非刑事化,diˌkrɪmənələˈzeɪʃən,,14,1,textbook,,
831,gambling,赌博,赌博,ˈgæmbəlɪŋ,,"7,14",10,textbook,,
832,marijuana,大麻,大麻,ˌmɛrəˈwɑnə,,"7,14",2,textbook,,
833,repair,维修,维修,rɪˈpɛr,,14,1,textbook,,
834,rent,租金,租金,rɛnt,,14,1,textbook,,
835,eviction law,驱逐法,驱逐法,ɪˈvɪkʃən lɔ,,14,1,textbook,,
836,economic group,经济群体,经济群体,ˌɛkəˈnɑmɪk grup,,14,1,textbook,,
837,labor union,工会,工会,ˈleɪbər ˈjunjən,,14,1,textbook,,
838,management,资方,资方,ˈmænɪʤmənt,,14,2,textbook,,
839,strike,罢工,罢工,straɪk,,14,4,textbook,,
840,worker,工人,工人,ˈwərkər,,14,6,textbook,,
841,working conditions,工作条件,工作条件,ˈwərkɪŋ kənˈdɪʃənz,,14,2,textbook,,
842,decent wage,体面工资,体面工资,ˈdisənt weɪʤ,,14,1,textbook,,
843,economic class war,经济阶级战争,经济阶级战争,ˌɛkəˈnɑmɪk klæs wɔr,,14,1,textbook,,
844,economic impact,经济影响,经济影响,ˌɛkəˈnɑmɪk ˌɪmˈpækt,,14,2,textbook,,
